"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2022","26,270.0","25,770.0","26,480.0","25,770.0","0.85K","1.43%"
"09/28/2022","25,900.0","26,350.0","26,380.0","25,620.0","1.13K","-1.37%"
"09/27/2022","26,260.0","26,300.0","26,420.0","26,170.0","0.46K","0.46%"
"09/26/2022","26,140.0","27,010.0","27,110.0","26,130.0","1.30K","-0.98%"
"09/23/2022","26,400.0","26,822.5","26,845.0","26,252.5","","-2.08%"
"09/22/2022","26,960.0","27,000.0","27,370.0","26,660.0","1.52K","-0.37%"
"09/21/2022","27,060.0","27,430.0","27,430.0","26,970.0","0.53K","-1.24%"
"09/20/2022","27,400.0","27,270.0","27,610.0","27,140.0","0.69K","-0.76%"
"09/19/2022","27,610.0","27,330.0","27,620.0","27,132.5","","1.02%"
"09/18/2022","27,332.5","27,302.5","27,362.5","27,277.5","","0.16%"
"09/16/2022","27,290.0","27,630.0","27,640.0","27,240.0","0.33K","-1.16%"
"09/15/2022","27,610.0","27,570.0","27,740.0","27,500.0","0.59K","0.07%"
"09/14/2022","27,590.0","28,340.0","28,380.0","27,490.0","1.27K","-2.65%"
"09/13/2022","28,340.0","28,250.0","28,370.0","28,230.0","0.53K","0.50%"
"09/12/2022","28,200.0","27,960.0","28,330.0","27,930.0","0.63K","0.97%"
"09/09/2022","27,930.0","27,730.0","27,990.0","27,530.0","0.54K","0.72%"
"09/08/2022","27,730.0","27,160.0","27,780.0","27,160.0","0.30K","2.10%"
"09/07/2022","27,160.0","27,440.0","27,440.0","26,960.0","0.04K","-0.51%"
"09/06/2022","27,300.0","27,410.0","27,470.0","27,300.0","0.03K","-0.15%"
"09/05/2022","27,340.0","27,390.0","27,600.0","27,250.0","0.03K","-0.07%"
"09/02/2022","27,360.0","27,330.0","27,510.0","27,280.0","0.13K","0.11%"
"09/01/2022","27,330.0","27,670.0","27,720.0","27,300.0","0.07K","-1.76%"
"08/31/2022","27,820.0","27,980.0","27,980.0","27,600.0","0.04K","-0.29%"
"08/30/2022","27,900.0","27,680.0","27,910.0","27,580.0","0.11K","1.05%"
"08/29/2022","27,610.0","28,320.0","28,360.0","27,480.0","0.06K","-2.47%"
"08/26/2022","28,310.0","28,290.0","28,460.0","28,290.0","0.04K","0.35%"
"08/25/2022","28,210.0","28,100.0","28,240.0","28,090.0","0.01K","0.68%"
"08/24/2022","28,020.0","28,220.0","28,280.0","28,000.0","0.03K","-0.25%"
"08/23/2022","28,090.0","28,350.0","28,350.0","28,100.0","0.01K","-1.13%"
